city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Gilly,BE,50.42,4.48,20043,False,86,74,14.000000000000002,0.0,8.799999999999999,0.0,0.0,21.6,12.4,5.2,14.000000000000002,0.0,0.0,42.4
Abba,CF,5.33,15.15,20043,False,71,69,31.6,0.0,43.6,0.0,0.0,12.0,42.8,0.0,43.6,0.0,0.0,27.200000000000003
Saraipali,IN,21.32,83.01,20043,False,56,54,66.0,10.8,46.400000000000006,0.0,0.0,0.8,68.4,7.6,46.0,0.0,0.0,9.6
Mahembe,RW,-2.24,29.29,20043,False,87,75,0.0,0.0,20.4,0.0,0.0,21.6,0.0,0.0,21.6,0.0,0.0,41.6
Mill Creek,US,47.86,-122.2,20043,False,72,71,12.8,0.0,22.0,22.8,38.0,22.0,11.600000000000001,0.0,24.8,23.200000000000003,38.0,38.0
Paravai,IN,9.96,78.07,20042,False,44,38,76.8,52.800000000000004,62.8,0.0,0.0,16.400000000000002,85.2,51.6,62.4,0.0,0.0,27.200000000000003
Barañáin,ES,42.81,-1.68,20039,False,81,70,11.600000000000001,12.8,27.6,0.0,0.0,23.599999999999998,12.0,19.6,35.199999999999996,0.0,0.0,44.800000000000004
Sürmene,TR,40.91,40.13,20039,False,80,66,18.4,0.0,18.8,1.2,0.0,29.2,16.400000000000002,5.2,24.4,1.2,0.0,53.6
Pace,US,30.6,-87.16,20039,False,66,63,32.4,0.0,0.0,40.8,42.4,26.8,37.2,0.0,0.0,42.4,42.4,45.2
San Giovanni Lupatoto,IT,45.38,11.04,20038,False,66,59,20.8,22.400000000000002,19.2,0.0,45.6,31.6,24.0,26.8,23.599999999999998,0.0,45.6,54.400000000000006
‘Inak,SA,26.52,50.03,20038,False,30,28,71.2,100.0,0.0,15.2,0.0,25.6,76.8,100.0,0.0,15.6,0.0,45.6
